id,created_at,match_text,response_text,src,dst,updated_at
ea89d45c-b580-44cd-bed4-2df64521327e,2025-10-08 13:07:03.064165-04,1|veg|vegetable|vegetables,Vegetables are tasty and good for you!,d1ecd32a-72ad-413a-bda5-49e5bc0a65b8,f3c2c323-25e2-4ed0-ad97-6c8fd55cca35,2025-10-08 13:07:03.064165-04
cc785c21-d720-4bdd-acdd-f393099d61b8,2025-10-08 13:07:03.064276-04,2|meat,Too much meat isn't good for you but so delish!,d1ecd32a-72ad-413a-bda5-49e5bc0a65b8,9a477f6d-1a03-4177-a1b7-228ce52ae8e0,2025-10-08 13:07:03.064276-04
44041b95-063b-4cc4-be6d-13a2312343ed,2025-10-08 13:07:03.064373-04,3|fruit,Fruit is like nature's dessert!,d1ecd32a-72ad-413a-bda5-49e5bc0a65b8,cc0f528d-6569-423d-94d7-5e5e9fe2ea1a,2025-10-08 13:07:03.064373-04
9d43daf7-c3d8-4936-a7fa-daf02fff6c60,2025-10-08 13:07:03.064206-04,1|carrot|carrots,"Cold dipped in hummus, oh so good!",00caf78f-1856-41e4-8deb-665c039d3aff,f0e48c6b-a637-4889-8707-ad9a2607b29f,2025-10-08 13:07:03.064206-04
2c16ef46-7431-446e-b049-98ced6b059cc,2025-10-08 13:07:03.064224-04,2|broc|broccoli|brocolli,"Steamed and dipped in butter, amazing!",00caf78f-1856-41e4-8deb-665c039d3aff,f0e48c6b-a637-4889-8707-ad9a2607b29f,2025-10-08 13:07:03.064224-04
7d4332cd-0ed2-4661-ae61-fcc1faef2544,2025-10-08 13:07:03.064243-04,3|pepper|peppers,"Stuffed or sliced and served with pasta, yum!",00caf78f-1856-41e4-8deb-665c039d3aff,f0e48c6b-a637-4889-8707-ad9a2607b29f,2025-10-08 13:07:03.064243-04
784c0141-3943-4036-ba04-a9afb8a87d70,2025-10-08 13:07:03.064326-04,1|beef,Steaks and burgers. Drool!,93dada9c-884b-4264-8025-03751ea53c44,f0e48c6b-a637-4889-8707-ad9a2607b29f,2025-10-08 13:07:03.064326-04
12d102f8-e658-40da-80c2-9ae2a693e509,2025-10-08 13:07:03.064342-04,2|pork,Pulled or shredded. It's all good!,93dada9c-884b-4264-8025-03751ea53c44,f0e48c6b-a637-4889-8707-ad9a2607b29f,2025-10-08 13:07:03.064342-04
8429bc71-6136-4653-ad33-58a1daab29d0,2025-10-08 13:07:03.064356-04,3|carrot,Fried or grilled in a salad. Love it!,93dada9c-884b-4264-8025-03751ea53c44,f0e48c6b-a637-4889-8707-ad9a2607b29f,2025-10-08 13:07:03.064356-04
bf5f1105-d2dd-44a2-bc52-7d35bcb5194a,2025-10-08 13:07:03.064414-04,1|apple,"Sweet, tart and everything in between!",353cf69d-de2a-4f44-a76c-c13fb056a7a7,f0e48c6b-a637-4889-8707-ad9a2607b29f,2025-10-08 13:07:03.064414-04
